ZONEID,TIMESTAMP,Hour,VAR78,VAR79,VAR134,VAR157,VAR164,VAR165,VAR166,VAR167,VAR169,VAR175,VAR178,VAR228
1,20130402 00:00,0,0,0.014484406,94751.125,56.37536621,0.875606418,1.317887306,0.225296199,288.923584,20590960,24855968,22811568,0
1,20130403 00:00,0,0.261688232,0.000169039,95276.9375,55.86279297,0.997344971,-2.518418312,1.987275124,286.0917969,15787380,28667360,19184848,0.000405908
1,20130404 00:00,0,0.057861328,0,95852.625,58.53445435,0.940307617,-3.185601234,-0.018564224,288.2331543,9405818,26996672,14071243,0.00033462
1,20130405 00:00,0,0.136802673,0,96003.1875,62.11506653,0.931365967,-1.422749519,-0.285708427,289.0275879,8931217,28917056,13668481,0.000744343
1,20130406 00:00,0,0.01751288,3.81E-06,95727.4375,67.28614807,0.321105957,-1.474509239,-0.634810448,289.0993652,12708184,28413136,16619136,0.000374794
1,20130407 00:00,0,0.000844955,7.53E-05,95384.5625,71.95724487,0.036636353,0.183753014,-0.182203293,288.7016602,16099906,27674576,19197968,0.000101089
1,20130408 00:00,0,0,0.000132561,95508.125,50.23558044,0.077575684,-0.577979088,1.452536583,291.0134277,17219200,26519888,19811728,0.00015825
1,20130409 00:00,0,0,0,95637.8125,65.29017639,0,-0.847376823,0.286333084,289.5651855,15126819,27196224,18075856,0
1,20130410 00:00,0,0.002383232,0,95383.875,78.16438293,0.132591248,0.069141388,-0.348277092,288.5341797,16932064,27444192,19582960,5.71E-05
1,20130411 00:00,0,0,4.48E-05,95328.375,56.8586731,0.040771484,-0.011153221,0.074872971,291.3676758,16568114,26438208,19202224,0
1,20130412 00:00,0,0.000804901,0,95564.0625,69.22286987,0.022445679,-0.672345161,-0.678423882,290.151123,16157956,30260864,18953568,0.000317097
1,20130413 00:00,0,0,0,95024.9375,63.81045532,0.040039063,1.370907784,-1.75537014,291.1975098,18293856,26468320,20630832,0
1,20130414 00:00,0,0,0.000473022,94488.0625,44.74284363,0.048431396,1.723690987,-2.118994713,293.4023438,17920608,27272144,20112848,0
1,20130415 00:00,0,0,0.010450363,94058.5,51.17784119,0.509887695,3.936226845,-1.893456459,293.4433594,17350816,27926000,19819872,0
1,20130416 00:00,0,0.021575928,5.72E-05,94608.25,65.21522522,0.544006348,-2.324804306,1.402738571,287.8054199,9648261,29301968,13629207,0.00155735
1,20130417 00:00,0,0.000377655,0.00797081,94714.5,62.01506042,0.956380904,-0.705850601,0.265472412,288.0800781,10758770,26566656,14288569,0.000525475
1,20130418 00:00,0,0.079998016,0,94593.6875,67.62115479,0.567581177,0.443352699,1.772364616,288.3139648,12763836,27897136,15701576,0.000527382
1,20130419 00:00,0,0,0,94753.9375,46.10005188,0,-0.089583397,6.721961975,284.4606934,14432964,25070656,16946720,0.000392437
1,20130420 00:00,0,0.101177692,0.002422333,94751.9375,57.42860413,0.867492676,-5.663826942,6.521196365,286.8149414,15570669,25400992,17615152,0.002193451
1,20130421 00:00,0,0,0,94524.5625,60.41870117,0,-0.692266464,0.038784027,285.064209,11637526,24860352,14620903,0.000162601
1,20130422 00:00,0,0.07572937,0,94016.9375,66.59057617,0.783752441,6.030174255,-1.923390388,285.8745117,15812076,26637840,17681952,0.00178504
1,20130423 00:00,0,0.002670288,0,94378.6875,61.08055115,0.202850342,6.065449715,-0.297339439,287.7045898,11620775,25104288,14587460,0.000133753
1,20130424 00:00,0,0,0,94884.8125,56.86378479,0,2.771017075,-0.852043152,285.9294434,11237630,24340896,14023028,0.000345349
1,20130425 00:00,0,0,0,95195.4375,52.42950439,0,1.977928162,-0.950925827,286.4677734,16599670,23746352,18076352,0
1,20130426 00:00,0,9.82E-05,0,95225,52.57203674,0,4.179646492,-0.831906319,288.9816895,16277114,23792640,17993696,0
1,20130427 00:00,0,0,0,95123.1875,68.01289368,0,1.605690956,-2.118549347,287.588623,15879800,24240560,17838736,0
1,20130428 00:00,0,0,0.014359474,94809,36.97691345,1,4.106482506,-2.556517601,291.2509766,15473175,24827088,17132320,0
1,20130429 00:00,0,0.002426147,0.002182007,95276.375,58.36676025,0.260253906,1.704112053,-0.971755028,290.8015137,14739190,25792736,16998800,0
1,20130430 00:00,0,0.060397301,0.007346638,95484.1875,82.18336487,0.84864372,-0.251444817,-1.762349129,288.4265137,12029446,29919232,14869252,0.004827023
1,20130501 00:00,0,0.010929108,0.010337777,94889.9375,66.21662903,0.897389293,0.976755202,-1.320412636,288.1098633,9768726,28587232,12936658,0.000278473
2,20130402 00:00,0,2.86E-05,0.020572662,94191.125,54.41345215,0.880565524,0.377336323,-0.328292668,288.7414551,20512624,24641952,22867120,0
2,20130403 00:00,0,0.124832153,5.65E-05,94713.1875,46.88037109,0.887664795,-2.028428078,2.738739967,286.6708984,16048756,28725472,19440848,0.000197291
2,20130404 00:00,0,0.034301758,0,95304.375,59.75320435,0.876647949,-2.425347328,-0.44275856,287.8469238,9767546,26653888,14359499,0.000104547
2,20130405 00:00,0,0.132667542,0,95462.9375,63.12190247,0.944763184,-1.17689991,-0.495425224,288.3496094,8838033,29076416,13610241,0.000614166
2,20130406 00:00,0,0.005450808,6.29E-05,95178.1875,69.06349182,0.161682129,-1.016745567,-0.826338768,288.5964355,11825112,29019216,15955712,0.00041914
2,20130407 00:00,0,0.001398087,0.000375748,94828.5625,70.39767456,0.045059204,0.108679771,-0.38801384,288.3881836,15235778,27826512,18592272,0.000136375
2,20130408 00:00,0,0,0.000274658,94953.125,45.06858826,0.207244873,-0.772315025,1.431357384,291.2810059,17138432,26225872,19794320,0.000247926
2,20130409 00:00,0,0,0,95081.5625,57.93080139,0,-0.807215691,-0.227216721,290.0195312,15204003,26872256,18198864,0
2,20130410 00:00,0,0.000829697,0,94821.125,69.45832825,0.004249573,0.201465607,-0.759654045,289.2539062,16825440,26986336,19547312,0
2,20130411 00:00,0,0,0,94775.625,52.79421997,0,-0.063643456,-0.14412117,291.6159668,16191282,26340928,18959152,0
2,20130412 00:00,0,0.002231598,0,95023.5625,73.48849487,0.07963562,-0.256939888,-0.674639702,289.2487793,14961284,30234880,18077152,0.000497341
2,20130413 00:00,0,0,0.000232697,94475.1875,63.41690063,0.229888916,1.204892159,-1.977293968,290.6599121,18010592,26265568,20487088,0
2,20130414 00:00,0,0.000102997,0.0001297,93943.8125,45.47624207,0.008483887,1.204525948,-2.248145103,292.6032715,17868640,27009488,20132304,0
2,20130415 00:00,0,0.000442505,0.01281929,93500.25,50.31846619,0.530670166,3.800728798,-2.188134193,293.036377,17176736,27482352,19754848,0
2,20130416 00:00,0,0.070571899,0,94067.75,70.78944397,0.74118042,-1.765966415,1.499662399,286.9362793,10104709,29121232,14033559,0.001793861
2,20130417 00:00,0,0.000297546,0.008171082,94164.25,59.70353699,0.964162886,-0.522623062,-0.140777588,287.9536133,10708082,26375936,14243001,0.00064373
2,20130418 00:00,0,0.092540741,0,94038.9375,62.40338135,0.669845581,0.280877113,1.651759148,288.145752,12384572,27627056,15426248,0.000312328
2,20130419 00:00,0,0,0,94169.1875,44.74165344,0,0.165787697,7.808876038,284.0546875,13604548,25084096,16348450,0.00023365
2,20130420 00:00,0,0.100132465,0.002929688,94210.4375,58.32118225,0.879577637,-4.881234169,6.589067459,286.3430176,15835629,25756576,17880368,0.002813339
2,20130421 00:00,0,0,0,93965.0625,58.15112305,0,-0.444219589,-0.532016754,284.9680176,12008470,24402112,14938599,0.000178814
2,20130422 00:00,0,0.077545166,0,93450.1875,68.1394043,0.870605469,5.795066833,-1.794117928,285.3012695,15564908,26494480,17577504,0.001857281
2,20130423 00:00,0,0.006538391,1.29E-05,93803.6875,59.48484802,0.364807129,5.45827198,-0.373511314,287.4816895,12027559,25133472,14954308,0.000123382
2,20130424 00:00,0,0,0,94318.0625,57.99073792,0,1.58571434,-1.174430847,285.2246094,11609598,24180640,14328180,0.00018847
2,20130425 00:00,0,0,0,94624.9375,50.73712158,0,1.320457458,-1.234006882,286.234375,16618102,23566640,18156864,0
2,20130426 00:00,0,0.000206947,0,94637.5,49.76051331,0,2.38203907,-0.884396553,288.9819336,16273402,23636224,18056160,0
2,20130427 00:00,0,0,0,94557.9375,65.74433899,0,0.337503016,-1.956317902,286.5554199,15872504,24034352,17890192,0
2,20130428 00:00,0,0,0.015500069,94240.5,34.99937439,1,3.519812584,-2.488158226,291.0683594,15418263,24712272,17135264,0
2,20130429 00:00,0,0.001586914,0.003494263,94719.125,58.14898682,0.197662354,0.861704826,-1.245070457,290.0761719,14272246,25452384,16663955,0
2,20130430 00:00,0,0.045832787,0.003524313,94933.4375,79.46070862,0.882747114,0.462544441,-2.150288582,288.0678711,11292166,29894400,14302084,0.003733635
2,20130501 00:00,0,0.020498276,0.008084722,94334.6875,67.11701965,0.778828502,0.634103835,-1.301735878,287.5563965,9003542,28376544,12362066,0.000454426
3,20130402 00:00,0,5.34E-05,0.028129578,92537.125,50.34509277,0.905071139,-0.014265239,0.344192684,288.8417969,20325232,24211616,22797872,0
3,20130403 00:00,0,0.055145264,4.29E-05,93060.6875,48.57275391,0.503234863,-1.246689796,3.826142311,285.9123535,16376180,28361568,19708880,0.000252485
3,20130404 00:00,0,0.019889832,0,93647.375,62.87234497,0.705169678,-1.76982975,-0.884531021,286.8613281,10751610,25984960,15125195,8.83E-05
3,20130405 00:00,0,0.100151062,2.43E-05,93810.4375,65.95783997,0.963684082,-0.851460457,-0.934756279,287.2773438,9225105,29129408,13936641,0.000546932
